plo
"PLO1        อธิบายความหมายและคุณค่าของศิลปะและการสร้างสรรค์ได้
PLO2        อภิปรายความหมายของความหลากหลายทางวัฒนธรรมได้
PLO3        ระบุความรู้เบื้องต้นเกี่ยวกับการประกอบธุรกิจและทักษะพื้นฐานที่จำเป็นต่อการเป็นผู้ประกอบการได้
PLO4        มีทักษะการใช้ภาษา และสื่อสารได้ตรงตามวัตถุประสงค์ในบริบทการสื่อสารที่ หลากหลาย
PLO5        เลือกใช้เทคโนโลยีสารสนเทศและการสื่อสารได้ตรงตามวัตถุประสงค์ ตลอดจนรู้เท่าทันสื่อและสารสนเทศ
PLO6        แสวงหาความรู้ได้ด้วยตนเอง และนำความรู้ไปใช้ในการพัฒนา ตนเองและการดำเนินชีวิต
PLO7        แสดงออกซึ่งทักษะความสัมพันธ์ระหว่างบุคคล สามารถทำงานร่วมกับผู้อื่นได้ มีระเบียบวินัย ตรงต่อเวลา ซื่อสัตย์สุจริต มีความรับผิดชอบต่อตนเอง สังคม และสิ่งแวดล้อม
PLO8        ใช้ความคิดสร้างสรรค์ในการสร้างผลงานหรือดำเนินโครงการได้
PLO9        คิดวิเคราะห์ วางแผนอย่างเป็นระบบ เพื่อแก้ไขปัญหาหรือเพื่อออกแบบนวัตกรรมได้
PLO10       อธิบายหลักการทํางานและ แนวคิดของระบบและเทคโนโลยี ทางด้านคอมพิวเตอร์ สารสนเทศ และการสื่อสาร
PLO11       จัดการระบบไฟล์ข้อมูลและระบบ ฐานข้อมูลตามบริบทของปัญหา
PLO12       ประยุกต์ใช้อัลกอริทึมและโปรแกรมในการแก้ปัญหา ทางด้านคอมพิวเตอร์ภายใต้ สภาวะแวดล้อมที่กําหนด
PLO13       กําหนดขอบเขตการทํางาน ติดตั้ง พร้อมตั้งค่าการใช้งานระบบ คอมพิวเตอร์และเครือข่าย
PLO14       ประยุกต์ใช้ความรู้ในการ แก้ปัญหาด้านการรักษาความ มั่นคงปลอดภัยของข้อมูลของ ระบบคอมพิวเตอร์ภายใต้ กฎหมายโดยยึดหลักจริยธรรม ของการใช้ข้อมูลและสารสนเทศ
PLO15       ปฏิบัติงานภายใต้รูปแบบของการ ทํางานเป็นทีมเพื่อบรรลุเป้าหมาย ในการดําเนินงานร่วมกัน
PLO16       พูดและเขียนทั้งภาษาไทยและภาษาอังกฤษ เพื่อสื่อสารทําความ เข้าใจในด้านวิทยาการ คอมพิวเตอร์
PLO17       ติดตามข่าวสาร ข้อมูลและ ความก้าวหน้าทางเทคโนโลยีที่ เกี่ยวข้องกับงานด้านวิทยาการคอมพิวเตอร์
PLO18       วิเคราะห์ ออกแบบและพัฒนา ระบบคอมพิวเตอร์เพื่อแก้ไข ปัญหาให้ตรงตามความต้องการ ของผู้ใช้และบูรณาการตามบริบทของสังคม"
"PLO1        อธิบายความหมายและคุณค่าของศิลปะและการสร้างสรรค์ได้
PLO2        อภิปรายความหมายของความหลากหลายทางวัฒนธรรมได้
PLO3        ระบุความรู้เบื้องต้นเกี่ยวกับการประกอบธุรกิจและทักษะพื้นฐานที่จำเป็นต่อการเป็นผู้ประกอบการได้
PLO4        มีทักษะการใช้ภาษา และสื่อสารได้ตรงตามวัตถุประสงค์ในบริบทการสื่อสารที่หลากหลาย
PLO5        เลือกใช้เทคโนโลยีสารสนเทศและการสื่อสารได้ตรงตามวัตถุประสงค์ ตลอดจนรู้เท่าทันสื่อและสารสนเทศ
PLO6        แสวงหาความรู้ได้ด้วยตนเอง และนำความรู้ไปใช้ในการพัฒนาตนเองและการดำเนินชีวิต
PLO7        แสดงออกซึ่งทักษะความสัมพันธ์ระหว่างบุคคล สามารถทำงานร่วมกับผู้อื่นได้ มีระเบียบวินัย ตรงต่อเวลา ซื่อสัตย์สุจริต มีความรับผิดชอบต่อตนเอง สังคม และสิ่งแวดล้อม
PLO8        ใช้ความคิดสร้างสรรค์ในการสร้างผลงานหรือดำเนินโครงการได้
PLO9        คิดวิเคราะห์ วางแผน อย่างเป็นระบบ เพื่อแก้ไขปัญหาหรือเพื่อออกแบบนวัตกรรมได้
PLO10       อธิบายหลักการและองค์ประกอบของเทคโนโลยีสารสนเทศได้
PLO11	    อธิบายสาระสำคัญของจริยธรรมและกฎหมายทางด้านเทคโนโลยีสารสนเทศ
PLO12	    ออกแบบ ติดตั้ง และจัดการระบบฐานข้อมูลได้
PLO13	    ประยุกต์ใช้หลักการของเครือข่ายคอมพิวเตอร์และกลไกสำหรับรักษาความปลอดภัยของระบบสารสนเทศได้
PLO14	    พัฒนาระบบเว็บแอปพลิเคชันให้เหมาะสมกับงานทางธุรกิจได้
PLO15	    จัดเตรียมสภาวะแวดล้อมที่เหมาะสมต่อการพัฒนาระบบสารสนเทศได้
PLO16	    ติดตั้ง ทดสอบ และบำรุงรักษา ระบบสารสนเทศที่พัฒนาขึ้นได้
PLO17	    เก็บรวบรวมข้อมูล จัดการข้อมูล วิเคราะห์ข้อมูล และนำเสนอข้อมูลในรูปแบบที่หลากหลายได้
PLO18	    พัฒนาโปรแกรมประยุกต์ได้
PLO19	    รวบรวม สืบค้น ทดลองประยุกต์ใช้ความรู้และเทคโนโลยีใหม่ได้ด้วยตนเอง และสามารถทำงานเป็นทีม
PLO20	    วิเคราะห์และออกแบบระบบงานด้านเทคโนโลยีสารสนเทศได้
PLO21	    วิเคราะห์ วางแผน หรือพัฒนาระบบงานที่มีการบูรณาการความรู้ในสาขาเทคโนโลยีสารสนเทศที่สามารถใช้งานได้"
